Algorithm, Unsorted Data, UnsortedDataRepeated, SortedData, LargeUnsortedData, LargeUnsortedDataRepeated, LargeSortedData
BubbleSort, 00:00:00.0000396, 00:00:00.0000399, 00:00:33.0000411, 00:00:29.6069232, 00:00:29.6451328, 00:00:10.4553814,
BubbleSort, 00:00:00.0000016, 00:00:00.0000015, 00:00:33.0000017, 00:00:29.6010865, 00:00:29.6076359, 00:00:10.4137725,
BubbleSort, 00:00:00.0000031, 00:00:00.0000032, 00:00:00.0000017, 00:00:29.5451606, 00:00:29.7976971, 00:00:10.3802311,
BubbleSort, 00:00:00.0000017, 00:00:00.0000033, 00:00:00.0000017, 00:00:29.4839373, 00:00:29.6431147, 00:00:10.3738059,
BubbleSort, 00:00:00.0000015, 00:00:00.0000034, 00:00:00.0000008, 00:00:29.8084415, 00:00:29.6205606, 00:00:10.3829903,
BubbleSort, 00:00:00.0000014, 00:00:00.0000013, 00:00:00.0000008, 00:00:29.5653678, 00:00:29.6200956, 00:00:10.7360386,
BubbleSort, 00:00:00.0000015, 00:00:00.0000014, 00:00:00.0000007, 00:00:29.5315456, 00:00:29.6405518, 00:00:10.3905467,
BubbleSort, 00:00:00.0000016, 00:00:00.0000010, 00:00:00.0000008, 00:00:29.5393574, 00:00:29.5761360, 00:00:10.4696514,
BubbleSort, 00:00:00.0000017, 00:00:00.0000011, 00:00:00.0000008, 00:00:29.9806033, 00:00:29.6519548, 00:00:10.4896963,
BubbleSort, 00:00:00.0000016, 00:00:00.0000009, 00:00:00.0000008, 00:00:29.5588681, 00:00:29.6630844, 00:00:10.3839502,
SelectionSort, 00:00:00.0000735, 00:00:00.0000520, 00:00:00.0000382, 00:00:10.8885378, 00:00:09.7171757, 00:00:09.7233217,
SelectionSort, 00:00:00.0000014, 00:00:00.0000013, 00:00:00.0000009, 00:00:09.6652036, 00:00:09.6495133, 00:00:09.6505902,
SelectionSort, 00:00:00.0000014, 00:00:00.0000030, 00:00:00.0000009, 00:00:09.6997996, 00:00:09.6784614, 00:00:09.6749652,
SelectionSort, 00:00:00.0000017, 00:00:00.0000029, 00:00:00.0000010, 00:00:11.5603089, 00:00:09.6639317, 00:00:09.6953204,
SelectionSort, 00:00:00.0000016, 00:00:00.0000029, 00:00:00.0000008, 00:00:12.4544065, 00:00:09.6649088, 00:00:09.7210128,
SelectionSort, 00:00:00.0000015, 00:00:00.0000032, 00:00:00.0000008, 00:00:11.7542137, 00:00:09.6625587, 00:00:09.9556347,
SelectionSort, 00:00:00.0000017, 00:00:00.0000029, 00:00:00.0000008, 00:00:09.8006564, 00:00:09.6895311, 00:00:09.6797787,
SelectionSort, 00:00:00.0000015, 00:00:00.0000013, 00:00:00.0000007, 00:00:11.0608783, 00:00:09.6711591, 00:00:09.6491203,
SelectionSort, 00:00:00.0000020, 00:00:00.0000012, 00:00:00.0000007, 00:00:09.6886073, 00:00:09.7497490, 00:00:09.7132717,
SelectionSort, 00:00:00.0000022, 00:00:00.0000009, 00:00:00.0000006, 00:00:11.1431498, 00:00:09.6908619, 00:00:09.6925898,
InsertionSort, 00:00:00.0000380, 00:00:00.0000371, 00:00:00.0000365, 00:00:07.0623353, 00:00:07.0680458, 00:00:00.0004045,
InsertionSort, 00:00:00.0000011, 00:00:00.0000015, 00:00:00.0000002, 00:00:07.0760063, 00:00:07.0403947, 00:00:00.0007029,
InsertionSort, 00:00:00.0000011, 00:00:00.0000008, 00:00:00.0000002, 00:00:07.0408820, 00:00:07.0426008, 00:00:00.0003688,
InsertionSort, 00:00:00.0000010, 00:00:00.0000007, 00:00:00.0000002, 00:00:07.0507839, 00:00:07.0486572, 00:00:00.0003691,
InsertionSort, 00:00:00.0000009, 00:00:00.0000009, 00:00:00.0000002, 00:00:07.0770156, 00:00:07.0583766, 00:00:00.0003665,
InsertionSort, 00:00:00.0000008, 00:00:00.0000007, 00:00:00.0000002, 00:00:07.0593910, 00:00:07.0412120, 00:00:00.0003673,
InsertionSort, 00:00:00.0000008, 00:00:00.0000007, 00:00:00.0000002, 00:00:07.0708093, 00:00:07.0404799, 00:00:00.0003737,
InsertionSort, 00:00:00.0000011, 00:00:00.0000020, 00:00:00.0000002, 00:00:07.0689762, 00:00:07.0483799, 00:00:00.0003672,
InsertionSort, 00:00:00.0000010, 00:00:00.0000008, 00:00:00.0000002, 00:00:07.1702507, 00:00:07.1187437, 00:00:00.0003654,
InsertionSort, 00:00:00.0000008, 00:00:00.0000008, 00:00:00.0000003, 00:00:07.0774887, 00:00:07.0618942, 00:00:00.0007622,
